,originalTitle,brTitle
11742,The Forger (2014),O impostor (2014)
11743,Good Kill (2014),Good Kill - Máxima Precisão (2014)
11744,Faults (2015),Faults (2015)
11745,The Harvest (2013),A Ameaça (2013)
11746,Paul Blart: Mall Cop 2 (2015),Segurança de Shopping 2 (2015)
11747,The Longest Ride (2015),Uma Longa Jornada (2015)
11748,Atari: Game Over (2014),Atari: Game Over (2014)
11749,Lage Raho Munna Bhai (2006),Siga em Frente Munna Bhai (2006)
11750,The Age of Adaline (2015),A Incrível História de Adaline (2015)
11751,Danny Collins (2015),Não Olhe para Trás (2015)
11752,Grandma (2015),Aprendendo Com a Vovó (2015)
11753,Winning Time: Reggie Miller vs. The New York Knicks (2010),Winning Time: Reggie Miller vs. The New York Knicks (2010)
11754,Comedy Central Roast of Justin Bieber (2015),Roast do Justin Bieber (2015)
11755,Tinker Bell and the Legend of the NeverBeast (2014),Tinker Bell e o Monstro da Terra do Nunca (2014)
11756,The Pirate Fairy (2014),Tinker Bell: Fadas e Piratas (2014)
11757,Mother's Day (2010),Dominados Pelo Ódio (2010)
11758,Man Up (2015),(Des)encontro Perfeito (2015)
11759,San Andreas (2015),San Andreas (2015)
11760,Regression (2015),Regressão (2015)
11761,Welcome to Me (2014),Bem-Vindos ao Mundo (2014)
11762,Testament of Youth (2014),Juventudes Roubadas (2014)
11763,Comedy Central Roast of James Franco (2013),Comedy Central Roast of James Franco (2013)
11764,Far from the Madding Crowd (2015),Longe Deste Insensato Mundo (2015)
11765,The Spy Who Loved Flowers (1966),Técnica de Espionagem (1966)
11766,Barbie as The Princess & the Pauper (2004),Barbie em A Princesa e A Plebeia (2004)
11767,Barbie of Swan Lake (2003),Barbie em O Lago dos Cisnes (2003)
11768,Barbie in the 12 Dancing Princesses (2006),Barbie em As 12 Princesas Bailarinas (2006)
11769,Barbie as Rapunzel (2002),Barbie como Rapunzel (2002)
11770,The Bélier Family (2014),A Família Bélier (2014)
11771,Hitman: Agent 47 (2015),Hitman: Agente 47 (2015)
11772,Tinker Bell and the Great Fairy Rescue (2010),Tinker Bell e o Resgate da Fada (2010)
11773,Ricki and the Flash (2015),Ricki and the Flash: De Volta Para Casa (2015)
11774,Infini (2015),Infini (2015)
11775,Piku (2015),Piku (2015)
11776,Pitch Perfect 2 (2015),A Escolha Perfeita 2 (2015)
11777,Just Before I Go (2014),Just Before I Go (2014)
11778,Carol (2015),Carol (2015)
11779,Office Romance (1977),Office Romance (1977)
11780,Bootleggers (1961),Bootleggers (1961)
11781,Andaz Apna Apna (1994),Andaz Apna Apna (1994)
11782,Hera Pheri (2000),Hera Pheri (2000)
11783,The Lobster (2015),O Lagosta (2015)
11784,Maggie (2015),Maggie: A Transformação (2015)
11785,Hot Pursuit (2015),Belas e Perseguidas (2015)
11786,Slow West (2015),Oeste Sem Lei (2015)
11787,The Human Centipede III (Final Sequence) (2015),A Centopéia Humana 3 (2015)
11788,The Green Inferno (2014),Canibais (2014)
11789,Barely Lethal (2015),Escola de Espiões (2015)
11790,MI-5 (2015),Spooks: O Mestre Espião (2015)
11791,Deep Web (2015),Deep Web (2015)
11792,5 to 7 (2014),Encontro Marcado (2014)
11793,Afonya (1975),Afonya (1975)
11794,Radio Day (2008),Radio Day (2008)
11795,The Martian (2015),Perdido em Marte (2015)
11796,Kung Fury (2015),Kung Fury (2015)
11797,Elections Day (2007),Elections Day (2007)
11798,A Hard Day (2014),Um Dia Difícil (2014)
11799,Youth (2015),Juventude (2015)
11800,Survivor (2015),Perseguindo Abbott (2015)
11801,Hot Girls Wanted (2015),Hot Girls Wanted (2015)
11802,Striped Trip (1961),A Viagem dos Felinos (1961)
11803,That Munchhausen (1979),That Munchhausen (1979)
11804,The Taming of the Scoundrel (1980),O Solteirão Amansado (1980)
11805,Spy (2015),A Espiã Que Sabia de Menos (2015)
11806,Tinker Bell (2008),Tinker Bell: Uma Aventura no Mundo das Fadas (2008)
11807,Trainwreck (2015),Descompensada (2015)
11808,Aloha (2015),Sob o Mesmo Céu (2015)
11809,She's Funny That Way (2015),Um Amor a Cada Esquina (2015)
11810,Taxi (2015),Táxi Teerã (2015)
11811,The Fantastic Flying Books of Mr. Morris Lessmore (2011),Os Livros Voadores do Sr. Morris (2011)
11812,Dragon Blade (2015),Batalha dos Impérios (2015)
11813,Entourage (2015),Entourage: Fama e Amizade (2015)
11814,Bitter Lake (2015),Bitter Lake (2015)
11815,Duck Amuck (1953),Pato Furioso (1953)
11816,5 Flights Up (2014),Ruth & Alex (2014)
11817,Inside Out (2015),Divertida Mente (2015)
11818,The Wolfpack (2015),Os Irmãos Lobo (2015)
11819,Tanu Weds Manu (2011),Tanu Weds Manu (2011)
11820,Love & Mercy (2014),The Beach Boys: Uma História de Sucesso (2014)
11821,Police Story 2013 (2013),Em Nome da Lei (2013)
11822,Metro (2013),Pânico no Metrô (2013)
11823,The Hunger Games: Mockingjay - Part 2 (2015),Jogos Vorazes: A Esperança - O Final (2015)
11824,Max (2015),Max: O Cão Herói (2015)
11825,Pixels (2015),Pixels (2015)
11826,Allegiant: Part 1 (2016),A Série Divergente: Convergente (2016)
11827,Fantastic Beasts and Where to Find Them (2016),Animais Fantásticos e Onde Habitam (2016)
11828,The Star Wars Holiday Special (1978),Guerra nas Estrelas Especial (1978)
11829,Zenon: Girl of the 21st Century (1999),"Zenon, a Garota do Século 21 (1999)"
11830,Mr. Holmes (2015),Sr. Sherlock Holmes (2015)
11831,Fantastic Beasts and Where to Find Them 2 (2018),Animais Fantásticos: Os Crimes de Grindelwald (2018)
11832,The Secret Life of Pets (2016),Pets: A Vida Secreta dos Bichos (2016)
11833,The Skeleton Dance (1929),A Dança dos Esqueletos (1929)
11834,Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005)
11835,The Boy and the World (2013),O Menino e o Mundo (2013)
11836,Little Boy (2015),Little Boy - Além do Impossível (2015)
11837,Self/less (2015),Sem Retorno (2015)
11838,Criminal (2016),Mente Criminosa (2016)
11839,The Last Witch Hunter (2015),O Último Caçador de Bruxas (2015)
11840,Krampus (2015),Krampus - O Terror do Natal (2015)
11841,Suicide Squad (2016),Esquadrão Suicida (2016)
11842,Independence Day: Resurgence (2016),Independence Day: O Ressurgimento (2016)
11843,Star Trek Beyond (2016),Star Trek: Sem Fronteiras (2016)
11844,Final Girl (2015),A Garota Final (2015)
11845,The Dawns Here are Quiet (1972),Auroras Nascem Tranquilas (1972)
11846,Ted 2 (2015),Ted 2 (2015)
11847,Rabbit Fire (1951),A Temporada de Caça (1951)
11848,Queen (2014),Queen (2014)
11849,Absolutely Anything (2015),Absolutamente Impossível (2015)
11850,Minions (2015),Minions (2015)
11851,The House at the End of Time (2013),A Casa do Fim dos Tempos (2013)
11852,The Good Dinosaur (2015),O Bom Dinossauro (2015)
11853,Black Mass (2015),Aliança do Crime (2015)
11854,Spectre (2015),007 Contra Spectre (2015)
11855,The Second Mother (2015),Que Horas Ela Volta? (2015)
11856,Smart House (1999),A Casa Inteligente (1999)
11857,Scooby-Doo on Zombie Island (1998),Scooby-Doo na Ilha dos Zumbis (1998)
11858,Sharknado 3: Oh Hell No! (2015),"Sharknado 3: Oh, Não! (2015)"
11859,Scooby-Doo and the Alien Invaders (2000),Scooby-Doo e os Invasores Alienígenas (2000)
11860,Scooby-Doo and the Cyber Chase (2001),Scooby-Doo e a Caçada Virtual (2001)
11861,Gabriel Iglesias: Hot and Fluffy (2007),Gabriel Iglesias: Hot and Fluffy (2007)
11862,George Carlin: Back in Town (1996),George Carlin: Back in Town (1996)
11863,George Carlin: You Are All Diseased (1999),George Carlin: You Are All Diseased (1999)
11864,Ghost in the Shell 2.0 (2008),Ghost in the Shell 2.0 (2008)
11865,Jeff Dunham: Arguing with Myself (2006),Jeff Dunham: Arguing with Myself (2006)
11866,Jeff Dunham: Spark of Insanity (2007),Jeff Dunham: Spark of Insanity (2007)
11867,Jim Gaffigan: Beyond the Pale (2006),Jim Gaffigan: Beyond the Pale (2006)
11868,Kim Possible: A Sitch in Time (2003),Kim Possible: Um Passeio pelo Tempo (2003)
11869,Larry David: Curb Your Enthusiasm (1999),Larry David: Curb Your Enthusiasm (1999)
11870,One Froggy Evening (1955),Sapo da Sorte (1955)
11871,Robot Chicken: Star Wars (2007),Robot Chicken: Star Wars (2007)
11872,Three Little Pigs (1933),Os Três Porquinhos (1933)
11873,Teen Titans: Trouble in Tokyo (2007),Os Jovens Titãs: Missão Tóquio (2007)
11874,Mickey's Christmas Carol (1983),O Natal do Mickey Mouse (1983)
11875,Kung Fu Panda: Secrets of the Masters (2011),Kung Fu Panda: Os Segredos dos Mestres (2011)
11876,Steve Jobs (2015),Steve Jobs (2015)
11877,Macbeth (2015),Macbeth: Ambição e Guerra (2015)
11878,Santa Claus is Comin' to Town (1970),A Verdadeira História de Papai Noel (1970)
11879,Vacation (2015),Férias Frustradas (2015)
11880,Creep (2014),Lunático (2014)
11881,Let Us Prey (2014),Aprisionados (2014)
11882,Batman v Superman: Dawn of Justice (2016),Batman vs Superman: A Origem da Justiça: Edição Definitiva (2016)
11883,Amy (2015),Amy (2015)
11884,Magic Mike XXL (2015),Magic Mike XXL (2015)
11885,The Jungle Book (2016),Mogli - O Menino Lobo (2016)
11886,Dragon Ball Z: Resurrection of F (2015),Dragon Ball Z: O Renascimento de Freeza (2015)
11887,"I, Claudius (1976)","Eu, Cláudio (1976)"
11888,The Man from U.N.C.L.E. (2015),O Agente da U.N.C.L.E. (2015)
11889,Justice League: Gods and Monsters (2015),Liga da Justiça: Deuses e Monstros (2015)
11890,Burying the Ex (2015),Enterrando Minha Ex (2015)
11891,7 Days in Hell (2015),7 Dias no Inferno (2015)
11892,The Walk (2015),A Travessia (2015)
11893,13 Hours (2016),13 Horas: Os Soldados Secretos de Benghazi (2016)
11894,Spectral (2016),Spectral (2016)
11895,Staten Island Summer (2015),Verão em Staten Island (2015)
11896,The Gallows (2015),A Forca (2015)
11897,Feast (2014),O Banquete (2014)
11898,Return to Treasure Island (1988),Return to Treasure Island (1988)
11899,Dark Places (2015),Lugares Escuros (2015)
11900,The U (2009),The U (2009)
11901,You Don't Know Bo (2012),You Don't Know Bo (2012)
11902,Mustang (2015),Cinco Graças (2015)
11903,Afro Samurai (2007),Afro Samurai (2007)
11904,Bajrangi Bhaijaan (2015),Irmão Bajrangi (2015)
11905,The Revenant (2015),O Regresso (2015)
11906,Irrational Man (2015),O Homem Irracional (2015)
11907,Tale of Tales (2015),O Conto dos Contos (2015)
11908,Cartel Land (2015),Cartel Land (2015)
11909,Baahubali: The Beginning (2015),Baahubali: O Início (2015)
11910,Southpaw (2015),Nocaute (2015)
11911,Sicario (2015),Sicario: Terra de Ninguém (2015)
11912,Goodnight Mommy (Ich seh ich seh) (2014),"Boa Noite, Mamãe (2014)"
11913,X+Y (2014),X+Y (2014)
11914,Before We Go (2014),Antes do Adeus (2014)
11915,Best of Enemies (2015),Best of Enemies (2015)
11916,Anomalisa (2015),Anomalisa (2015)
11917,Colonia (2016),Colonia (2016)
11918,Ghost in the Shell Arise - Border 2: Ghost Whispers (2013),Ghost in the Shell Arise - Border 2: Ghost Whispers (2013)
11919,Ghost in the Shell Arise - Border 3: Ghost Tears (2014),Ghost in the Shell Arise - Border 3: Ghost Tears (2014)
11920,Ghost in the Shell Arise - Border 4: Ghost Stands Alone (2014),Ghost in the Shell Arise - Border 4: Ghost Stands Alone (2014)
11921,How to Make Love Like an Englishman (2014),Ensina-Me o Amor (2014)
11922,Madly in Love (1981),Loucamente Enamorado (1981)
11923,The Vatican Tapes (2015),Exorcistas do Vaticano (2015)
11924,Our Little Sister (2015),Nossa Irmã Mais Nova (2015)
11925,The Intern (2015),O Estagiário (2015)
11926,Extinction (2015),Apocalipse (2015)
11927,Descendants (2015),Descendentes (2015)
11928,Love (2015),Love (2015)
11929,Room (2015),O Quarto de Jack (2015)
11930,The Gift (2015),O Presente (2015)
11931,George Carlin: Jammin' in New York (1992),George Carlin: Jammin' in New York (1992)
11932,The Witch (2015),A Bruxa (2015)
11933,Men & Chicken (2015),Men & Chicken (2015)
11934,The Escort (2015),A Acompanhante (2015)
11935,Lava (2015),Lava (2015)
11936,"Family Guy Presents: Something, Something, Something, Dark Side (2009)","Family Guy Presents: Something, Something, Something, Dark Side (2009)"
11937,"Visit, The (2015)",A Visita (2015)
11938,Secret in Their Eyes (2015),Olhos da Justiça (2015)
11939,Sinister 2 (2015),A Entidade 2 (2015)
11940,Battle For Sevastopol (2015),A Sniper Russa (2015)
11941,American Ultra (2015),American Ultra: Armados e Alucinados (2015)
11942,No Escape (2015),Horas de Desespero (2015)
11943,Straight Outta Compton (2015),Straight Outta Compton: A História do N.W.A. (2015)
11944,Cop Car (2015),A Viatura (2015)
11945,The Lost Room (2006),The Lost Room (2006)
11946,Puella Magi Madoka Magica the Movie Part I: Beginnings (2012),Puella Magi Madoka Magica the Movie Part I: Beginnings (2012)
11947,Attack on Titan (2015),Ataque dos Titãs (2015)
11948,Tangerine (2015),Tangerina (2015)
11949,Air (2015),Sem Ar (2015)
11950,Joy (2015),Joy: O Nome do Sucesso (2015)
11951,The Turkish Gambit (2005),The Turkish Gambit (2005)
11952,Ready Player One,Jogador Nº 1 
11953,Victor Frankenstein (2015),Victor Frankenstein (2015)
11954,Guardians (2016),Os Guardiões (2016)
11955,Arthur 3: The War of the Two Worlds (2010),Arthur: A Guerra dos Dois Mundos (2010)
11956,Equals (2015),Quando Te Conheci (2015)
11957,Star Trek: Renegades (2015),Star Trek: Renegades (2015)
11958,Scouts Guide to the Zombie Apocalypse (2015),Como Sobreviver a Um Ataque Zumbi (2015)
11959,Paranormal Activity 2: Tokyo Night (2010),Atividade Paranormal Tóquio (2010)
11960,Suffragette (2015),As Sufragistas (2015)
11961,Sweet Red Bean Paste (2015),Sabor da Vida (2015)
11962,Turbo Kid (2015),Turbo Kid (2015)
11963,We Are Your Friends (2015),"Música, Amigos e Festa (2015)"
11964,War Room (2015),Quarto de Guerra (2015)
11965,Joseph: King of Dreams (2000),"José, o Rei dos Sonhos (2000)"
11966,Legend (2015),Lendas do Crime (2015)
11967,Drishyam (2015),A Chantagem (2015)
11968,Queen of Earth (2015),Queen of Earth (2015)
11969,Deathgasm (2015),Deathgasm (2015)
11970,The Danish Girl (2015),A Garota Dinamarquesa (2015)
11971,Area 51 (2015),Mistérios da Área 51 (2015)
11972,Cooties (2015),Cooties: A Epidemia (2015)
11973,Autumn Marathon (1979),Maratona de Outono (1979)
11974,The Most Charming and Attractive (1985),The Most Charming and Attractive (1985)
11975,12 Chairs (1976),12 Chairs (1976)
11976,Ordinary Miracle (1978),Ordinary Miracle (1978)
11977,The Garage (1979),The Garage (1979)
11978,Unbelievable Adventures of Italians in Russia (1974),Unbelievable Adventures of Italians in Russia (1974)
11979,12 Chairs (1971),As 12 Cadeiras (1971)
11980,Steve Jobs: The Man in the Machine (2015),Steve Jobs: O Homem e a Máquina (2015)
11981,Green Room (2015),Sala Verde (2015)
11982,Beasts of No Nation (2015),Beasts of No Nation (2015)
11983,The Lady in the Van (2015),A Senhora da Van (2015)
11984,Meru (2015),Meru - O centro do universo (2015)
11985,The Transporter Refuelled (2015),Carga Explosiva: O Legado (2015)
11986,The Lorax (1972),O Lorax (1972)
11987,Knock Knock (2015),Bata Antes de Entrar (2015)
11988,The Nightmare (2015),The Nightmare (2015)
11989,Welcome to Leith (2015),Welcome to Leith (2015)
11990,The Blue Planet (2001),Planeta Azul (2001)
11991,Return to Halloweentown (2006),Retorno a Halloweentown (2006)
11992,Demolition (2016),Demolição (2016)
11993,Listen to Me Marlon (2015),A Verdade sobre Marlon Brando (2015)
11994,Cigarette Burns (2005),Cigarette Burns (2005)
11995,Our Brand Is Crisis (2015),Especialista em Crise (2015)
11996,The Assassin (2015),A Assassina (2015)
11997,High Rise (2015),No Topo do Poder (2015)
11998,The Night Before (2015),"Sexo, Drogas e Jingle Bells (2015)"
11999,Into the Forest (2015),No Escuro da Floresta (2015)
12000,Everest (2015),Evereste (2015)
12001,Puella Magi Madoka Magica the Movie Part III: Rebellion (2013),Puella Magi Madoka Magica the Movie Part III: Rebellion (2013)
12002,Puella Magi Madoka Magica the Movie Part II: Eternal (2012),Puella Magi Madoka Magica the Movie Part II: Eternal (2012)
12003,The Brand New Testament (2015),O Novíssimo Testamento (2015)
12004,Spotlight (2015),Spotlight: Segredos Revelados (2015)
12005,Son of Saul (2015),O Filho de Saul (2015)
12006,Shut In (2015),Shut In (2015)
12007,Pawn Sacrifice (2015),O Dono do Jogo (2015)
12008,Hardcore Henry (2015),Hardcore: Missão Extrema (2015)
12009,Burnt (2015),Pegando Fogo (2015)
12010,Visions (2015),A Última Premonição (2015)
12011,Last Shift (2014),Last Shift (2014)
12012,"F*ck You, Goethe 2 (2015)","F*ck You, Goethe 2 (2015)"
12013,Pay the Ghost (2015),Regresso do Mal (2015)
12014,The Program (2015),Programado Para Vencer (2015)
12015,A Christmas Horror Story (2015),A Christmas Horror Story (2015)
12016,Hotel Transylvania 2 (2015),Hotel Transilvânia 2 (2015)
12017,Hidden (2015),Hidden (2015)
12018,Tremors 5: Bloodline (2015),O Ataque dos Vermes Malditos 5: Linhas de Sangue (2015)
12019,Freeheld (2015),Amor Por Direito (2015)
12020,By the Sea (2015),À Beira Mar (2015)
12021,The Little Prince (2015),O Pequeno Príncipe (2015)
12022,Ashby (2015),Morrendo e Aprendendo (2015)
12023,Dheepan (2015),Dheepan: O Refúgio (2015)
12024,"Liza, the Fox-Fairy (2015)","Liza, a fada raposa (2015)"
12025,Shazam! (2019),Shazam! (2019)
12026,Aquaman (2018),Aquaman (2018)
12027,Wonder Woman (2017),Mulher-Maravilha (2017)
12028,The Circle (2016),O Círculo (2016)
12029,Silence (2016),Silêncio (2016)
12030,Bridge of Spies (2015),Ponte dos Espiões (2015)
12031,Pitch Perfect 3 (2017),A Escolha Perfeita 3 (2017)
12032,Les Misérables in Concert - The 25th Anniversary (2010),Os Miseráveis: O Concerto (2010)
12033,"Mune, le gardien de la lune (2015)","Mune, O Guardião da Lua (2015)"
12034,"Bigger Splash, A (2015)",Um Mergulho No Passado (2015)
12035,Where To Invade Next (2015),O Invasor Americano (2015)
12036,Human (2015),Humano: Uma Viagem Pela Vida (2015)
12037,The Invitation (2015),O Convite (2015)
12038,"Hail, Caesar! (2016)","Ave, César! (2016)"
12039,Er ist wieder da (2015),Ele Está de Volta (2015)
12040,Little Dorrit (2008),Little Dorrit (2008)
12041,February (2015),A Enviada do Mal (2015)
12042,Baskin (2015),Baskin (2015)
12043,Circle (2015),Circle (2015)
12044,Confessions of a Dangerous Mind (2002),Confessions of a Dangerous Mind (2002)
12045,Goosebumps (2015),Goosebumps: Monstros e Arrepios (2015)
12046,Back In Time (2015),Back In Time (2015)
12047,Miss You Already (2015),Já Estou Com Saudades (2015)
12048,Rock the Kasbah (2015),Rock em Cabul (2015)
12049,Freaks of Nature (2015),Guerra dos Monstros (2015)
12050,Tales of Halloween (2015),Tales of Halloween (2015)
12051,Bone Tomahawk (2015),Rastro de Maldade (2015)
12052,Paranormal Activity: The Ghost Dimension (2015),Atividade Paranormal: Dimensão Fantasma (2015)
12053,The 33 (2015),Os 33 (2015)
12054,Suburra (2015),Suburra (2015)
12055,Amy Schumer: Live at the Apollo (2015),Amy Schumer: Live at the Apollo (2015)
12056,They Look Like People (2015),They Look Like People (2015)
12057,Howl (2015),O Uivo (2015)
12058,Barbie & Her Sisters in the Great Puppy Adventure (2015),Barbie e suas Irmãs em Uma Aventura de Cachorrinhos (2015)
12059,The Dressmaker (2015),A Vingança Está na Moda (2015)
12060,Trumbo (2015),Trumbo - Lista Negra (2015)
12061,Concussion (2015),Um Homem Entre Gigantes (2015)
12062,"Peanuts Movie, The (2015)",Charlie Brown: O Filme (2015)
12063,Formula of Love (1984),Formula of Love (1984)
12064,D'Artagnan and Three Musketeers (1979),D'Artagnan and Three Musketeers (1979)
12065,A Man from Boulevard des Capucines (1987),O homem do Boulevard des Capucines (1987)
12066,The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles (1981),The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles (1981)
12067,Three Men in a Boat (1979),Three Men in a Boat (1979)
12068,Meet the Patels (2014),Meet the Patels (2014)
12069,Blue Mountain State: The Rise of Thadland (2015),Blue Mountain State: A Ascensão da Thadlândia (2015)
12070,The Hallow (2015),A Maldição da Floresta (2015)
12071,The Boy and the Beast (2015),O Rapaz e o Monstro (2015)
12072,Can't Change the Meeting Place (1979),Can't Change the Meeting Place (1979)
12073,The Master and Margarita (2005),O Mestre e Margarida (2005)
12074,Naomi and Ely's No Kiss List (2015),Naomi e Ely: A Lista de Quem Não Beijar (2015)
12075,Wildlike (2015),Wildlike: Coração Selvagem (2015)
12076,Creed (2015),Creed: Nascido para Lutar (2015)
12077,Dragons: Gift of the Night Fury (2011),Dragões: O Presente do Fúria da Noite (2011)
12078,The Gendarme of St. Tropez (1964),Biquinis de Saint-Tropez (1964)
12079,Twinsters (2015),Twinsters (2015)
12080,Cosmic Scrat-tastrophe (2015),Scratástrofe Cósmica (2015)
12081,Solace (2015),Presságios de um Crime (2015)
12082,Louder Than Bombs (2015),Mais Forte Que Bombas (2015)
12083,Heist (2015),O Sequestro do Ônibus 657 (2015)
12084,400 Days (2015),400 Dias (2015)
12085,Love the Coopers (2015),O Natal dos Coopers (2015)
12086,The Girls (1961),As Garotas (1961)
12087,The Adventures of Sherlock Holmes and Doctor Watson,The Adventures of Sherlock Holmes and Doctor Watson
12088,What Men Still Talk About (2011),What Men Still Talk About (2011)
12089,Seventeen Moments in Spring (1973),Seventeen Moments in Spring (1973)
12090,Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986)
12091,The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980),The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980)
12092,The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature (1979),The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature (1979)
12093,Sherlock Holmes and Dr. Watson: Acquaintance (1979),Sherlock Holmes and Dr. Watson: Acquaintance (1979)
12094,A Perfect Day (2015),Um Dia Perfeito (2015)
12095,Rams (2015),A Ovelha Negra (2015)
12096,Anthony Jeselnik: Thoughts and Prayers (2015),Anthony Jeselnik: Thoughts and Prayers (2015)
12097,Point Break (2015),Caçadores de Emoção: Além do Limite (2015)
12098,Winter on Fire: Ukraine's Fight for Freedom (2015),Winter on Fire: Ukraine's Fight for Freedom (2015)
12099,Hitchcock/Truffaut (2015),Hitchcock/Truffaut (2015)
12100,The 5th Wave (2016),A 5ª Onda (2016)
12101,A Very Murray Christmas (2015),A Very Murray Christmas (2015)
12102,Truman (2015),Truman (2015)
12103,The Wave (2015),A Onda (2015)
12104,Chi-Raq (2015),Chi-Raq (2015)
12105,Truth (2015),Truth (2015)
12106,"Big Short, The (2015)",A Grande Aposta (2015)
12107,The Ridiculous 6 (2015),Os 6 Ridículos (2015)
12108,John Mulaney: The Comeback Kid (2015),John Mulaney: The Comeback Kid (2015)
12109,Saw (2003),Jogos Mortais 0.5 (2003)
12110,Wizards of Waverly Place: The Movie (2009),Os Feiticeiros de Waverly Place: O Filme (2009)
12111,Ghost in the Shell: The New Movie (2015),Ghost in the Shell: The New Movie (2015)
12112,World of Tomorrow (2015),World of Tomorrow (2015)
12113,Zoolander 2 (2016),Zoolander 2 (2016)
12114,How to Be Single (2016),Como Ser Solteira (2016)
12115,He Never Died (2015),Ele Nunca Morre (2015)
12116,Fifty Shades of Black (2016),Cinquenta Tons de Preto (2016)
12117,Nocturnal Animals,Animais Noturnos 
12118,Daddy's Home (2015),Pai em Dose Dupla (2015)
12119,Sisters (2015),Irmãs (2015)
12120,Kung Fu Panda 3 (2016),Kung Fu Panda 3 (2016)
12121,Krisha (2015),Krisha (2015)
12122,Childhood's End (2015),O Fim da Infância (2015)
12123,Pride and Prejudice and Zombies (2016),Orgulho e Preconceito e Zumbis (2016)
12124,The Devil's Candy (2015),The Devil's Candy (2015)
12125,Jane Got a Gun (2015),Em Busca da Justiça (2015)
12126,Megamind: The Button Of Doom (2011),"Megamente, o Botão da Destruição (2011)"
12127,The Forest (2016),Floresta Maldita (2016)
12128,Moonwalkers (2015),Moonwalkers: Rumo à Lua (2015)
12129,A Man Called Ove (2015),Um Homem Chamado Ove (2015)
12130,Wiener-Dog (2016),Wiener-Dog (2016)
12131,Ride Along 2 (2016),Policial em Apuros 2 (2016)
12132,Maggie's Plan (2015),O Plano de Maggie (2015)
12133,Batman: Bad Blood (2016),Batman: Sangue Ruim (2016)
12134,Eddie the Eagle (2016),Voando Alto (2016)
12135,Airlift (2016),Transporte Aéreo (2016)
12136,Lo and Behold: Reveries of the Connected World (2016),Eis os Delírios do Mundo Conectado (2016)
12137,The Boy (2016),The Boy (2016)
12138,Lazer Team (2016),Lazer Team (2016)
12139,Risen (2016),Ressurreição (2016)
12140,The Survivalist (2015),The Survivalist (2015)
12141,April and the Twisted World (2015),Abril e o Mundo Extraordinário (2015)
12142,The Other Side of the Door (2016),Do Outro Lado da Porta (2016)
12143,Dirty Grandpa (2016),Tirando o Atraso (2016)
12144,Requiem for the American Dream (2015),Réquiem para o Sonho Americano (2015)
12145,Death Note Rewrite: Genshisuru Kami (2007),Death Note Revisão: A Versão de Ryuk (2007)
12146,Death Note: R2 - L o Tsugu Mono (2008),Death Note Revisão 2: O Sucessor de L (2008)
12147,Three from Prostokvashino (1978),Three from Prostokvashino (1978)
12148,The Finest Hours (2016),Horas Decisivas (2016)
12149,Ghost in the Shell: Solid State Society (2006),Ghost in the Shell: Solid State Society (2006)
12150,The Birth of a Nation (2016),O Nascimento de Uma Nação (2016)
12151,Me Before You (2016),Como Eu Era Antes de Você (2016)
12152,Grease Live (2016),Grease: Ao Vivo (2016)
12153,Miles Ahead (2016),A Vida de Miles Davis (2016)
12154,"Crouching Tiger, Hidden Dragon: Sword of Destiny (2016)",O Tigre e o Dragão: A Espada do Destino (2016)
12155,Triple 9 (2016),Triplo 9: Polícia em Poder da Máfia (2016)
12156,Gods of Egypt (2016),Deuses do Egito (2016)
12157,Embrace of the Serpent (2016),O Abraço da Serpente (2016)
12158,Race (2016),Raça (2016)
12159,10 Cloverfield Lane (2016),"Rua Cloverfield, 10 (2016)"
12160,London Has Fallen (2016),Invasão a Londres (2016)
12161,Zootopia (2016),Zootopia (2016)
12162,Whiskey Tango Foxtrot (2016),Uma Repórter em Apuros (2016)
12163,The Brothers Grimsby (2016),Irmão de Espião (2016)
12164,A War (2015),Guerra (2015)
12165,War and Peace (2016),Guerra & Paz (2016)
12166,The Fear of 13 (2015),The Fear of 13 (2015)
12167,Southbound (2016),Southbound (2016)
12168,Cabin Fever (2016),Cabana do Inferno (2016)
12169,Ip Man 3 (2015),O Grande Mestre 3 (2015)
12170,Hunt for the Wilderpeople (2016),A Incrível Aventura de Rick Baker (2016)
12171,Forsaken (2016),O Retorno de John Henry (2016)
12172,Rabbits (2002),Rabbits (2002)
12173,4th Man Out (2016),Fourth Man Out (2016)
12174,The Last Man on the Moon (2016),The Last Man on the Moon (2016)
12175,The Barkley Marathons: The Race That Eats Its Young (2015),The Barkley Marathons: The Race That Eats Its Young (2015)
12176,Remember (2015),Memórias Secretas (2015)
12177,The Mermaid (2016),As Travessuras de Uma Sereia (2016)
12178,And Then There Were None (2015),E Não Sobrou Nenhum (2015)
12179,Emelie (2015),Emelie (2015)
12180,The Neon Demon (2016),Demônio de Neon (2016)
12181,Evolution (2016),Evolution (2016)
